100,1,170
101,1,100
102,1,270
103,1,200
104,1,100
105,1,100
106,1,170
107,1,200
108,1,270
109,1,100
110,1,100
111,1,270
112,1,270
113,1,270
114,1,200
115,1,170
116,1,100
117,1,240
118,1,240
119,1,240
120,1,200
121,2,400
122,2,400
123,2,200
124,2,250
125,2,80
126,2,120
127,2,120
128,2,120
129,2,80
130,2,250
131,2,400
132,2,200
133,2,250
134,2,100
135,2,80
136,2,120
137,2,120
138,3,225
139,3,150
140,3,1500
141,3,1300
142,3,200
143,3,300
144,3,800
145,3,225
146,3,150
147,3,800
148,3,300
149,3,1500
150,3,1500
151,3,150
152,3,225
153,3,1300
154,3,1500
155,3,100
156,3,150
157,3,225
158,3,800
159,3,800
160,3,1500
161,3,1500
162,3,1300
163,3,150
164,3,100
165,3,300
166,3,200
167,3,200
168,3,225
169,4,180
170,4,100
171,4,250
172,4,150
173,4,1200
174,4,30
175,4,180
176,4,100
177,4,250
178,4,1200
179,4,30
180,4,150
182,4,150
183,4,180
184,4,1200
185,4,250
186,4,180
187,4,100
188,4,250
189,4,1200
190,4,100
192,4,250
193,4,150
194,4,1200
195,4,30
196,4,30
197,4,180
198,4,100
199,4,250
120,4,180
121,5,280
122,5,150
123,5,250
124,5,100
125,5,280
126,5,280
127,5,280
128,5,150
129,5,150
130,5,250
131,5,100
132,5,150
133,5,100
134,5,100
135,5,150
136,5,280
137,5,280
138,5,150
139,5,100
140,5,250
141,5,250
142,5,100
143,5,150
144,5,250
145,5,280
146,5,150
147,5,250
148,5,280
149,6,220
150,6,180
151,6,300
152,6,400
153,6,70
154,6,700
155,6,700
156,6,220
157,6,220
158,6,180
159,6,300
160,6,300
161,6,400
162,6,70
163,6,700
164,6,220
165,6,180
166,6,180
167,6,300
168,6,300
169,6,400
170,6,70
171,7,240
172,7,240
173,7,240
174,7,900
175,7,330
176,7,1200
177,7,1000
178,7,330
179,7,1200
180,7,1200
181,7,240
182,7,900
183,7,330
184,7,330
185,7,900
186,7,240
187,7,330
188,7,1200
189,7,240
190,7,900
191,7,900
192,7,240
193,7,1000
194,7,1000
195,7,240
196,7,900
197,7,330
198,7,1200
199,8,250
200,8,300
201,8,450
202,8,320
203,8,3500
204,8,130
205,8,130
206,8,130
207,8,3500
208,8,320
209,8,320
210,8,450
211,8,300
212,8,250
213,8,250
214,8,250
215,8,320
216,8,3500
217,8,3500
218,8,450
219,8,320
220,8,250
221,8,300
222,8,300
223,8,450
224,8,320
225,8,130
226,8,130
227,9,200
228,9,200
229,9,200
230,9,400
231,9,150
232,9,75
233,9,50
234,9,50
235,9,50
236,9,150
237,9,400
238,9,75
239,9,400
240,9,200
241,9,200
242,9,400
243,9,75
244,9,200
245,9,150
246,9,150
247,9,150
248,9,200
249,9,75
250,9,50
251,10,80
252,10,150
253,10,80
254,10,55
255,10,55
256,10,50
256,10,100
257,10,80
258,10,55
259,10,80
260,10,80
261,10,150
262,10,55
263,10,50
263,10,80
264,10,150
265,10,150
266,10,80
267,11,200
268,11,350
269,11,370
270,11,400
271,11,250
272,11,150
273,11,200
274,11,350
275,11,250
276,11,150




































 















